College,,AAU,Announce date,Type,State  ^Color denotes 2020 presidential result^,Employees  ^(Vaccination required)^,All students  ^(Vaccination required)^,Only residential students  ^(Vaccination required)^,state_pol
[St. John Fisher College](https://www.sjfc.edu/update/vaccine-information/)@@St. John Fisher College,St. John Fisher College,,--,Private,NY,✓,✓,--,D
[St. John's College at Annapolis](https://www.sjc.edu/2021-fall-plans)@@St. John's College at Annapolis,St. John's College at Annapolis,,--,Private,MD,--,✓,--,D
[St. John's College at Santa Fe](https://www.sjc.edu/2021-fall-plans)@@St. John's College at Santa Fe,St. John's College at Santa Fe,,--,Private,NM,--,✓,--,D
[St. John's University](https://www.stjohns.edu/about/news/announcements/covid-19-vaccination-requirement-fall-2021)@@St. John's University,St. John's University,,"April 21, 2021",Private,NY,--,✓,--,D
[St. Joseph's College-New York](https://www.sjcny.edu/about/news-events/news/item/student-vaccine-mandate)@@St. Joseph's College-New York,St. Joseph's College-New York,,"July 29, 2021",Private,NY,✓,✓,--,D
[St. Lawrence University](https://www.stlawu.edu/always-forward/messages-community#May-12)@@St. Lawrence University,St. Lawrence University,,"May 12, 2021",Private,NY,--,--,✓,D
[St. Mary's College of Maryland](https://www.smcm.edu/fall-2021/)@@St. Mary's College of Maryland,St. Mary's College of Maryland,,"May 12, 2021",Public,MD,✓,✓,--,D
[Stanford University](https://news.stanford.edu/today/2021/04/22/student-vaccination-fall/)@@Stanford University,Stanford University,Y,"April 22, 2021",Private,CA,✓,✓,--,D
[State University of New York at New Paltz](https://twitter.com/NYGovCuomo/status/1391784406453477383?s=20)@@State University of New York at New Paltz,State University of New York at New Paltz,,"May 10, 2021",Public,NY,--,✓,--,D
[Stetson University](https://www.stetson.edu/today/2021/08/stetson-requires-faculty-staff-to-get-covid-19-vaccines/)@@Stetson University,Stetson University,,"August 14, 2021",Private,FL,✓,--,--,R
[Stevens Institute of Technology](https://www.stevens.edu/news/stevens-institute-technology-require-covid-19-vaccine-all-students-faculty-and-staff-planning-campus)@@Stevens Institute of Technology,Stevens Institute of Technology,,"April 22, 2021",Private,NJ,✓,✓,--,D
[Stevenson University](https://www.stevenson.edu/student-life/health-wellness/vaccine-requirement/index.html)@@Stevenson University,Stevenson University,,"May 25, 2021",Private,MD,--,✓,--,D
[Stockton University](https://stockton.edu/return/faq.html)@@Stockton University,Stockton University,,"May 5, 2021",Public,NJ,✓,✓,--,D
[Stonehill College](https://www.stonehill.edu/covid19/health-and-safety/testing/vaccine/)@@Stonehill College,Stonehill College,,--,Private,MA,✓,✓,--,D
[Stony Brook University](https://twitter.com/NYGovCuomo/status/1391784406453477383?s=20)@@Stony Brook University,Stony Brook University,,"May 10, 2021",Public,NY,--,✓,--,D
[Suffolk County Community College](https://twitter.com/NYGovCuomo/status/1391784406453477383?s=20)@@Suffolk County Community College,Suffolk County Community College,,"May 10, 2021",Public,NY,--,✓,--,D
[Suffolk University](https://www.suffolk.edu/student-life/health-wellness/coronavirus-health-advisory/covid-19-campus-updates/info-for-students-and-families/vaccine-requirements-for-students-faq)@@Suffolk University,Suffolk University,,"April 29, 2021",Private,MA,✓,✓,--,D
[Sullivan County Community College](https://twitter.com/NYGovCuomo/status/1391784406453477383?s=20)@@Sullivan County Community College,Sullivan County Community College,,"May 10, 2021",Public,NY,--,✓,--,D
[SUNY Adirondack](https://twitter.com/NYGovCuomo/status/1391784406453477383?s=20)@@SUNY Adirondack,SUNY Adirondack,,"May 10, 2021",Public,NY,--,✓,--,D
[SUNY at Albany](https://twitter.com/NYGovCuomo/status/1391784406453477383?s=20)@@SUNY at Albany,SUNY at Albany,,"May 10, 2021",Public,NY,--,✓,--,D
[SUNY at Fredonia](https://twitter.com/NYGovCuomo/status/1391784406453477383?s=20)@@SUNY at Fredonia,SUNY at Fredonia,,"May 10, 2021",Public,NY,--,✓,--,D
[SUNY at Purchase College](https://twitter.com/NYGovCuomo/status/1391784406453477383?s=20)@@SUNY at Purchase College,SUNY at Purchase College,,"May 10, 2021",Public,NY,--,✓,--,D
[SUNY Brockport](https://twitter.com/NYGovCuomo/status/1391784406453477383?s=20)@@SUNY Brockport,SUNY Brockport,,"May 10, 2021",Public,NY,--,✓,--,D
[SUNY Broome Community College](https://twitter.com/NYGovCuomo/status/1391784406453477383?s=20)@@SUNY Broome Community College,SUNY Broome Community College,,"May 10, 2021",Public,NY,--,✓,--,D
[SUNY Buffalo State](https://twitter.com/NYGovCuomo/status/1391784406453477383?s=20)@@SUNY Buffalo State,SUNY Buffalo State,,"May 10, 2021",Public,NY,--,✓,--,D
[SUNY College at Geneseo](https://twitter.com/NYGovCuomo/status/1391784406453477383?s=20)@@SUNY College at Geneseo,SUNY College at Geneseo,,"May 10, 2021",Public,NY,--,✓,--,D
[SUNY College at Old Westbury](https://twitter.com/NYGovCuomo/status/1391784406453477383?s=20)@@SUNY College at Old Westbury,SUNY College at Old Westbury,,"May 10, 2021",Public,NY,--,✓,--,D
[SUNY College at Oswego](https://twitter.com/NYGovCuomo/status/1391784406453477383?s=20)@@SUNY College at Oswego,SUNY College at Oswego,,"May 10, 2021",Public,NY,--,✓,--,D
[SUNY College at Plattsburgh](https://twitter.com/NYGovCuomo/status/1391784406453477383?s=20)@@SUNY College at Plattsburgh,SUNY College at Plattsburgh,,"May 10, 2021",Public,NY,--,✓,--,D
[SUNY College at Potsdam](https://twitter.com/NYGovCuomo/status/1391784406453477383?s=20)@@SUNY College at Potsdam,SUNY College at Potsdam,,"May 10, 2021",Public,NY,--,✓,--,D
[SUNY College of Agriculture and Technology at Cobleskill](https://twitter.com/NYGovCuomo/status/1391784406453477383?s=20)@@SUNY College of Agriculture and Technology at Cobleskill,SUNY College of Agriculture and Technology at Cobleskill,,"May 10, 2021",Public,NY,--,✓,--,D
[SUNY College of Environmental Science and Forestry](https://twitter.com/NYGovCuomo/status/1391784406453477383?s=20)@@SUNY College of Environmental Science and Forestry,SUNY College of Environmental Science and Forestry,,"May 10, 2021",Public,NY,--,✓,--,D
[SUNY College of Optometry](https://twitter.com/NYGovCuomo/status/1391784406453477383?s=20)@@SUNY College of Optometry,SUNY College of Optometry,,"May 10, 2021",Public,NY,--,✓,--,D
[SUNY College of Technology at Alfred](https://twitter.com/NYGovCuomo/status/1391784406453477383?s=20)@@SUNY College of Technology at Alfred,SUNY College of Technology at Alfred,,"May 10, 2021",Public,NY,--,✓,--,D
[SUNY College of Technology at Canton](https://twitter.com/NYGovCuomo/status/1391784406453477383?s=20)@@SUNY College of Technology at Canton,SUNY College of Technology at Canton,,"May 10, 2021",Public,NY,--,✓,--,D
[SUNY College of Technology at Delhi](https://twitter.com/NYGovCuomo/status/1391784406453477383?s=20)@@SUNY College of Technology at Delhi,SUNY College of Technology at Delhi,,"May 10, 2021",Public,NY,--,✓,--,D
[SUNY Corning Community College](https://twitter.com/NYGovCuomo/status/1391784406453477383?s=20)@@SUNY Corning Community College,SUNY Corning Community College,,"May 10, 2021",Public,NY,--,✓,--,D
[SUNY Cortland](https://twitter.com/NYGovCuomo/status/1391784406453477383?s=20)@@SUNY Cortland,SUNY Cortland,,"May 10, 2021",Public,NY,--,✓,--,D
[SUNY Downstate Health Sciences University](https://twitter.com/NYGovCuomo/status/1391784406453477383?s=20)@@SUNY Downstate Health Sciences University,SUNY Downstate Health Sciences University,,"May 10, 2021",Public,NY,--,✓,--,D
[SUNY Empire State College](https://twitter.com/NYGovCuomo/status/1391784406453477383?s=20)@@SUNY Empire State College,SUNY Empire State College,,"May 10, 2021",Public,NY,--,✓,--,D
[SUNY Maritime College](https://twitter.com/NYGovCuomo/status/1391784406453477383?s=20)@@SUNY Maritime College,SUNY Maritime College,,"May 10, 2021",Public,NY,--,✓,--,D
[SUNY Morrisville](https://twitter.com/NYGovCuomo/status/1391784406453477383?s=20)@@SUNY Morrisville,SUNY Morrisville,,"May 10, 2021",Public,NY,--,✓,--,D
[SUNY Oneonta](https://twitter.com/NYGovCuomo/status/1391784406453477383?s=20)@@SUNY Oneonta,SUNY Oneonta,,"May 10, 2021",Public,NY,--,✓,--,D
[SUNY Polytechnic Institute](https://twitter.com/NYGovCuomo/status/1391784406453477383?s=20)@@SUNY Polytechnic Institute,SUNY Polytechnic Institute,,"May 10, 2021",Public,NY,--,✓,--,D
[SUNY Westchester Community College](https://twitter.com/NYGovCuomo/status/1391784406453477383?s=20)@@SUNY Westchester Community College,SUNY Westchester Community College,,"May 10, 2021",Public,NY,--,✓,--,D
[Susquehanna University](https://www.susqu.edu/about-susquehanna/newsroom/susquehanna-announces-vaccine-requirement-for-fall-2021)@@Susquehanna University,Susquehanna University,,"June 21, 2021",Private,PA,--,✓,--,D
[Swarthmore College](https://www.swarthmore.edu/covid-19-information/requiring-covid-19-vaccinations-faculty-and-staff-members)@@Swarthmore College,Swarthmore College,,"April 30, 2021",Private,PA,✓,✓,--,D
[Sweet Briar College](https://sbc.edu/covid-19-information/2021/06/07/covid-19-vaccine-requirements-for-students-and-employees/)@@Sweet Briar College,Sweet Briar College,,"June 7, 2021",Private,VA,✓,✓,--,D
[Syracuse University](https://news.syr.edu/blog/2021/04/08/covid-19-vaccination/)@@Syracuse University,Syracuse University,,"April 8, 2021",Private,NY,✓,✓,--,D
[Tacoma Community College](https://www.tacomacc.edu/about/newsroom/_summer2021_spring2022/vaccinations_required)@@Tacoma Community College,Tacoma Community College,,"July 23, 2021",Public,WA,✓,✓,--,D
[Temple University](https://www.temple.edu/coronavirus/vaccines)@@Temple University,Temple University,,--,Public,PA,✓,✓,--,D
[Thaddeus Stevens College of Technology](https://stevenscollege.edu/covid-updates/)@@Thaddeus Stevens College of Technology,Thaddeus Stevens College of Technology,,--,Public,PA,--,✓,--,D
[The College of New Jersey](https://president.tcnj.edu/2021/05/07/back-together-again/)@@The College of New Jersey,The College of New Jersey,,"May 7, 2021",Public,NJ,✓,✓,--,D
[The College of Wooster](https://wooster.edu/info/guide/?fbclid=IwAR1lTw3q5s9wrmlJdK1GRh2oUUFUS6GYJgxR_EhmcdqmiCcDMYfb8x3NVQE)@@The College of Wooster,The College of Wooster,,--,Private,OH,--,✓,--,R
[The Juilliard School](https://www.juilliard.edu/news/149561/may-7-2021-important-covid-updates)@@The Juilliard School,The Juilliard School,,"May 10, 2021",Private,NY,--,✓,--,D
[The New England Conservatory of Music](https://necmusic.edu/covid-vaccination-faqs)@@The New England Conservatory of Music,The New England Conservatory of Music,,--,Private,MA,--,✓,--,D
[The New School](https://blogs.newschool.edu/community-messages/2021/04/26/student-vaccination-requirement-for-fall-2021/)@@The New School,The New School,,"April 26, 2021",Private,NY,✓,✓,--,D
[The University of the Arts](https://www.uarts.edu/about/fall21/university-arts-covid-19-vaccine-policy-faq)@@The University of the Arts,The University of the Arts,,--,Private,PA,✓,✓,--,D
[Thomas College](https://www.thomas.edu/2021/08/11/important-update-college-covid-vaccination-policy/)@@Thomas College,Thomas College,,"August 11, 2021",Private,ME,✓,✓,--,D
[Thomas Jefferson University](https://www.jefferson.edu/coronavirus.html#updates)@@Thomas Jefferson University,Thomas Jefferson University,,"April 29, 2021",Private,PA,--,✓,--,D
[Three Rivers Community College](https://www.ct.edu/covid19#faqs)@@Three Rivers Community College,Three Rivers Community College,,"June 25, 2021",Public,CT,--,✓,--,D
[Tompkins Cortland Community College](https://twitter.com/NYGovCuomo/status/1391784406453477383?s=20)@@Tompkins Cortland Community College,Tompkins Cortland Community College,,"May 10, 2021",Public,NY,--,✓,--,D
[Touro College at Bay Shore](https://www.touro.edu/updates/coronavirus/)@@Touro College at Bay Shore,Touro College at Bay Shore,,"August 4, 2021",Private,NY,✓,✓,--,D
[Touro College at Kew Gardens Hills](https://www.touro.edu/updates/coronavirus/)@@Touro College at Kew Gardens Hills,Touro College at Kew Gardens Hills,,"August 4, 2021",Private,NY,✓,✓,--,D
[Touro College Law Center](https://www.touro.edu/updates/coronavirus/)@@Touro College Law Center,Touro College Law Center,,"August 4, 2021",Private,NY,✓,✓,--,D
[Touro College main campus](https://www.touro.edu/updates/coronavirus/)@@Touro College main campus,Touro College main campus,,"August 4, 2021",Private,NY,✓,✓,--,D
[Touro College of Dental Medicine](https://www.touro.edu/updates/coronavirus/)@@Touro College of Dental Medicine,Touro College of Dental Medicine,,"August 4, 2021",Private,NY,✓,✓,--,D
[Touro College of Osteopathic Medicine](https://www.touro.edu/updates/coronavirus/)@@Touro College of Osteopathic Medicine,Touro College of Osteopathic Medicine,,"August 4, 2021",Private,NY,✓,✓,--,D
[Touro College-Flatbush](https://www.touro.edu/updates/coronavirus/)@@Touro College-Flatbush,Touro College-Flatbush,,"August 4, 2021",Private,NY,✓,✓,--,D
[Touro College-Harlem](https://www.touro.edu/updates/coronavirus/)@@Touro College-Harlem,Touro College-Harlem,,"August 4, 2021",Private,NY,✓,✓,--,D
[Towson University](https://www.usmd.edu/newsroom/news/2154)@@Towson University,Towson University,,"April 23, 2021",Public,MD,✓,✓,--,D
[Trinity College](https://www.trincoll.edu/reopening/plans-for-the-fall/)@@Trinity College,Trinity College,,"April 28, 2021",Private,CT,--,✓,--,D
[Trinity Washington University](https://discover.trinitydc.edu/news/important-covid-19-vaccine-update/)@@Trinity Washington University,Trinity Washington University,,"April 20, 2021",Private,DC,✓,✓,--,D
[Truckee Meadows Community College](https://www.unlv.edu/news-story/nevada-state-board-health-approves-covid-19-vaccination-requirement-students)@@Truckee Meadows Community College,Truckee Meadows Community College,,"August 20, 2021",Public,NV,--,✓,--,D
[Tufts University](https://coronavirus.tufts.edu/healthy-at-tufts/covid-19-vaccinations-tufts)@@Tufts University,Tufts University,,"April 25, 2021",Private,MA,✓,✓,--,D
[Tulane University](https://tulane.edu/covid-19/vaccine)@@Tulane University,Tulane University,Y,"May 13, 2021",Private,LA,--,✓,--,R
[Tunxis Community College](https://www.ct.edu/covid19#faqs)@@Tunxis Community College,Tunxis Community College,,"June 25, 2021",Public,CT,--,✓,--,D
[Ulster County Community College](https://twitter.com/NYGovCuomo/status/1391784406453477383?s=20)@@Ulster County Community College,Ulster County Community College,,"May 10, 2021",Public,NY,--,✓,--,D
[Union College](https://www.union.edu/news/where-you-are/202105/vaccination-requirement-students-effective-july-1)@@Union College,Union College,,"May 7, 2021",Private,NY,✓,✓,--,D
[Union Presbyterian Seminary](https://www.upsem.edu/newsroom/union-seminary-to-mandate-covid-19-vaccine-for-students-employees-visitors/)@@Union Presbyterian Seminary,Union Presbyterian Seminary,,"April 16, 2021",Private,VA,✓,✓,--,D
[Union Presbyterian Seminary at Charlotte](https://www.upsem.edu/newsroom/union-seminary-to-mandate-covid-19-vaccine-for-students-employees-visitors/)@@Union Presbyterian Seminary at Charlotte,Union Presbyterian Seminary at Charlotte,,"April 16, 2021",Private,NC,✓,✓,--,R
[Unity College](https://unity.edu/press-releases/unity-college-announces-pandemic-lockdown-lift/)@@Unity College,Unity College,,--,Private,ME,--,✓,--,D
[University at Buffalo](https://twitter.com/NYGovCuomo/status/1391784406453477383?s=20)@@University at Buffalo,University at Buffalo,Y,"May 10, 2021",Public,NY,--,✓,--,D
[University of Baltimore](https://www.usmd.edu/newsroom/news/2154)@@University of Baltimore,University of Baltimore,,"April 23, 2021",Public,MD,✓,✓,--,D
[University of Bridgeport](https://www.bridgeport.edu/covid-19/faq)@@University of Bridgeport,University of Bridgeport,,"July 2, 2021",Private,CT,✓,✓,--,D
[University of California at Berkeley](https://www.universityofcalifornia.edu/press-room/uc-encourages-covid-19-vaccinations-university-communities-while-reviewing-policy)@@University of California at Berkeley,University of California at Berkeley,Y,"April 22, 2021",Public,CA,✓,✓,--,D
[University of California at Davis](https://www.universityofcalifornia.edu/press-room/uc-encourages-covid-19-vaccinations-university-communities-while-reviewing-policy)@@University of California at Davis,University of California at Davis,Y,"April 22, 2021",Public,CA,✓,✓,--,D
[University of California at Irvine](https://www.universityofcalifornia.edu/press-room/uc-encourages-covid-19-vaccinations-university-communities-while-reviewing-policy)@@University of California at Irvine,University of California at Irvine,Y,"April 22, 2021",Public,CA,✓,✓,--,D
[University of California at Los Angeles](https://www.universityofcalifornia.edu/press-room/uc-encourages-covid-19-vaccinations-university-communities-while-reviewing-policy)@@University of California at Los Angeles,University of California at Los Angeles,Y,"April 22, 2021",Public,CA,✓,✓,--,D
[University of California at Merced](https://www.universityofcalifornia.edu/press-room/uc-encourages-covid-19-vaccinations-university-communities-while-reviewing-policy)@@University of California at Merced,University of California at Merced,,"April 22, 2021",Public,CA,✓,✓,--,D
[University of California at Riverside](https://www.universityofcalifornia.edu/press-room/uc-encourages-covid-19-vaccinations-university-communities-while-reviewing-policy)@@University of California at Riverside,University of California at Riverside,,"April 22, 2021",Public,CA,✓,✓,--,D
[University of California at San Diego](https://www.universityofcalifornia.edu/press-room/uc-encourages-covid-19-vaccinations-university-communities-while-reviewing-policy)@@University of California at San Diego,University of California at San Diego,Y,"April 22, 2021",Public,CA,✓,✓,--,D
[University of California at San Francisco](https://www.universityofcalifornia.edu/press-room/uc-encourages-covid-19-vaccinations-university-communities-while-reviewing-policy)@@University of California at San Francisco,University of California at San Francisco,,"April 22, 2021",Public,CA,✓,✓,--,D
[University of California at Santa Barbara](https://www.universityofcalifornia.edu/press-room/uc-encourages-covid-19-vaccinations-university-communities-while-reviewing-policy)@@University of California at Santa Barbara,University of California at Santa Barbara,Y,"April 22, 2021",Public,CA,✓,✓,--,D
[University of California at Santa Cruz](https://www.universityofcalifornia.edu/press-room/uc-encourages-covid-19-vaccinations-university-communities-while-reviewing-policy)@@University of California at Santa Cruz,University of California at Santa Cruz,Y,"April 22, 2021",Public,CA,✓,✓,--,D
[University of Charleston](https://www.ucwv.edu/coronavirus-information/)@@University of Charleston,University of Charleston,,"June 18, 2021",Private,WV,--,✓,--,R
[University of Chicago](https://news.uchicago.edu/story/university-announces-covid-19-vaccine-requirement-all-students)@@University of Chicago,University of Chicago,Y,"May 18, 2021",Private,IL,✓,✓,--,D
[University of Colorado at Boulder](https://president.cu.edu/statements/cu-requires-vaccine-fall-semester-2021)@@University of Colorado at Boulder,University of Colorado at Boulder,Y,"April 28, 2021",Public,CO,✓,✓,--,D
[University of Colorado at Colorado Springs](https://president.cu.edu/statements/cu-requires-vaccine-fall-semester-2021)@@University of Colorado at Colorado Springs,University of Colorado at Colorado Springs,,"April 28, 2021",Public,CO,✓,✓,--,D
[University of Colorado at Denver](https://president.cu.edu/statements/cu-requires-vaccine-fall-semester-2021)@@University of Colorado at Denver,University of Colorado at Denver,,"April 28, 2021",Public,CO,✓,✓,--,D
[University of Colorado-Anschutz Medical Campus](https://president.cu.edu/statements/cu-requires-vaccine-fall-semester-2021)@@University of Colorado-Anschutz Medical Campus,University of Colorado-Anschutz Medical Campus,,"April 28, 2021",Public,CO,✓,✓,--,D
[University of Connecticut](https://policy.uconn.edu/2021/06/04/covid-19-immunization-record-requirement-for-students/#)@@University of Connecticut,University of Connecticut,,"June 4, 2021",Public,CT,✓,✓,--,D
[University of Connecticut-Avery Point](https://policy.uconn.edu/2021/06/04/covid-19-immunization-record-requirement-for-students/#)@@University of Connecticut-Avery Point,University of Connecticut-Avery Point,,"June 4, 2021",Public,CT,✓,✓,--,D
[University of Connecticut-Hartford Campus](https://policy.uconn.edu/2021/06/04/covid-19-immunization-record-requirement-for-students/#)@@University of Connecticut-Hartford Campus,University of Connecticut-Hartford Campus,,"June 4, 2021",Public,CT,✓,✓,--,D
[University of Connecticut-Stamford](https://policy.uconn.edu/2021/06/04/covid-19-immunization-record-requirement-for-students/#)@@University of Connecticut-Stamford,University of Connecticut-Stamford,,"June 4, 2021",Public,CT,✓,✓,--,D
[University of Connecticut-Waterbury Campus](https://policy.uconn.edu/2021/06/04/covid-19-immunization-record-requirement-for-students/#)@@University of Connecticut-Waterbury Campus,University of Connecticut-Waterbury Campus,,"June 4, 2021",Public,CT,✓,✓,--,D
[University of Delaware](https://www.udel.edu/udaily/2021/may/covid-19-coronavirus-vaccination-requirement-students/)@@University of Delaware,University of Delaware,,"May 5, 2021",Public,DE,--,✓,--,D
[University of Denver](https://www.du.edu/coronavirus/health-wellness/covid/faqs)@@University of Denver,University of Denver,,"April 20, 2021",Private,CO,✓,✓,--,D
[University of Detroit Mercy](https://udmercy.edu/about/news/articles/2021/06-10-vaccine.php)@@University of Detroit Mercy,University of Detroit Mercy,,"June 10, 2021",Private,MI,✓,✓,--,D
[University of Hartford](https://www.hartford.edu/healthy-hawks/vaccine.aspx)@@University of Hartford,University of Hartford,,--,Private,CT,--,✓,--,D
[University of Hawaii at Hilo](https://www.hawaii.edu/news/2021/05/17/uh-to-require-covid-19-vaccination/)@@University of Hawaii at Hilo,University of Hawaii at Hilo,,"May 17, 2021",Public,HI,--,✓,--,D
[University of Hawaii at Manoa](https://www.hawaii.edu/news/2021/05/17/uh-to-require-covid-19-vaccination/)@@University of Hawaii at Manoa,University of Hawaii at Manoa,,"May 17, 2021",Public,HI,--,✓,--,D
[University of Hawaii Maui College](https://www.hawaii.edu/news/2021/05/17/uh-to-require-covid-19-vaccination/)@@University of Hawaii Maui College,University of Hawaii Maui College,,"May 17, 2021",Public,HI,--,✓,--,D
[University of Hawaii-West Oahu](https://www.hawaii.edu/news/2021/05/17/uh-to-require-covid-19-vaccination/)@@University of Hawaii-West Oahu,University of Hawaii-West Oahu,,"May 17, 2021",Public,HI,--,✓,--,D
[University of Illinois at Chicago](https://massmail.illinois.edu/massmail/1167605264.html)@@University of Illinois at Chicago,University of Illinois at Chicago,,"June 21, 2021",Public,IL,✓,✓,--,D
[University of Illinois at Springfield](https://massmail.illinois.edu/massmail/1167605264.html)@@University of Illinois at Springfield,University of Illinois at Springfield,,"June 21, 2021",Public,IL,✓,✓,--,D
[University of Illinois at Urbana-Champaign](https://massmail.illinois.edu/massmail/1167605264.html)@@University of Illinois at Urbana-Champaign,University of Illinois at Urbana-Champaign,Y,"June 21, 2021",Public,IL,✓,✓,--,D
[University of Indianapolis](https://uindy.edu/coronavirus/president-announcements#president-080521)@@University of Indianapolis,University of Indianapolis,,"August 5, 2021",Private,IN,✓,✓,--,R
[University of La Verne](https://laverne.edu/health/vaccine-information/)@@University of La Verne,University of La Verne,,--,Private,CA,✓,✓,--,D
[University of Louisiana at Lafayette](https://www.klfy.com/health/coronavirus/university-of-louisiana-system-will-require-student-covid-19-vaccinations/)@@University of Louisiana at Lafayette,University of Louisiana at Lafayette,,"August 23, 2021",Public,LA,--,✓,--,R
[University of Louisiana at Monroe](https://www.klfy.com/health/coronavirus/university-of-louisiana-system-will-require-student-covid-19-vaccinations/)@@University of Louisiana at Monroe,University of Louisiana at Monroe,,"August 23, 2021",Public,LA,--,✓,--,R
[University of Lynchburg](https://www.lynchburg.edu/about/covid-19/)@@University of Lynchburg,University of Lynchburg,,"June 2, 2021",Private,VA,✓,✓,--,D
[University of Maine](https://www.maine.edu/together/community-guidance/students/)@@University of Maine,University of Maine,,"August 4, 2021",Public,ME,--,✓,--,D
[University of Maine at Augusta](https://www.maine.edu/together/community-guidance/students/)@@University of Maine at Augusta,University of Maine at Augusta,,"August 4, 2021",Public,ME,--,✓,--,D
[University of Maine at Farmington](https://www.maine.edu/together/community-guidance/students/)@@University of Maine at Farmington,University of Maine at Farmington,,"August 4, 2021",Public,ME,--,✓,--,D
[University of Maine at Fort Kent](https://www.maine.edu/together/community-guidance/students/)@@University of Maine at Fort Kent,University of Maine at Fort Kent,,"August 4, 2021",Public,ME,--,✓,--,D
[University of Maine at Machias](https://www.maine.edu/together/community-guidance/students/)@@University of Maine at Machias,University of Maine at Machias,,"August 4, 2021",Public,ME,--,✓,--,D
[University of Maine at Presque Isles](https://www.maine.edu/together/community-guidance/students/)@@University of Maine at Presque Isles,University of Maine at Presque Isles,,"August 4, 2021",Public,ME,--,✓,--,D
[University of Mary Washington](https://www.umw.edu/returntocampus/faq/)@@University of Mary Washington,University of Mary Washington,,"May 26, 2021",Public,VA,--,✓,--,D
[University of Maryland at Baltimore](https://www.usmd.edu/newsroom/news/2154)@@University of Maryland at Baltimore,University of Maryland at Baltimore,,"April 23, 2021",Public,MD,✓,✓,--,D
[University of Maryland at College Park](https://www.usmd.edu/newsroom/news/2154)@@University of Maryland at College Park,University of Maryland at College Park,Y,"April 23, 2021",Public,MD,✓,✓,--,D
[University of Maryland Center for Environmental Science](https://www.usmd.edu/newsroom/news/2154)@@University of Maryland Center for Environmental Science,University of Maryland Center for Environmental Science,,"April 23, 2021",Public,MD,✓,✓,--,D
[University of Maryland Global Campus](https://www.usmd.edu/newsroom/news/2154)@@University of Maryland Global Campus,University of Maryland Global Campus,,"April 23, 2021",Public,MD,✓,✓,--,D
[University of Maryland-Baltimore County](https://www.usmd.edu/newsroom/news/2154)@@University of Maryland-Baltimore County,University of Maryland-Baltimore County,,"April 23, 2021",Public,MD,✓,✓,--,D
[University of Maryland-Eastern Shore](https://www.usmd.edu/newsroom/news/2154)@@University of Maryland-Eastern Shore,University of Maryland-Eastern Shore,,"April 23, 2021",Public,MD,✓,✓,--,D
[University of Massachusetts at Amherst](https://www.umass.edu/coronavirus/news/message-chancellor-about-additional-public-health-measures-fall-2021-semester)@@University of Massachusetts at Amherst,University of Massachusetts at Amherst,,"April 22, 2021",Public,MA,✓,✓,--,D
[University of Massachusetts at Boston](https://www.umb.edu/news/detail/an_update_on_vaccinations_for_the_umass_boston_community)@@University of Massachusetts at Boston,University of Massachusetts at Boston,,"April 26, 2021",Public,MA,--,✓,--,D
[University of Massachusetts at Dartmouth](https://www.umassd.edu/covid/vaccine/)@@University of Massachusetts at Dartmouth,University of Massachusetts at Dartmouth,,"April 30, 2021",Public,MA,--,✓,--,D
[University of Massachusetts at Lowell](https://www.uml.edu/alert/coronavirus/returning/fall2021.aspx)@@University of Massachusetts at Lowell,University of Massachusetts at Lowell,,"April 28, 2021",Public,MA,--,✓,--,D
[University of Miami](https://coronavirus.miami.edu/updates-and-messages/index.html)@@University of Miami,University of Miami,,"June 1, 2021",Private,FL,✓,--,--,R
[University of Michigan at Ann Arbor](https://www.michigandaily.com/administration/u-m-to-require-vaccinations-against-covid-19-for-all-students-living-in-residence-halls-next-fall/)@@University of Michigan at Ann Arbor,University of Michigan at Ann Arbor,Y,"April 23, 2021",Public,MI,✓,✓,--,D
[University of Michigan at Dearborn](https://record.umich.edu/articles/u-m-will-require-covid-19-vaccination-on-all-campuses/)@@University of Michigan at Dearborn,University of Michigan at Dearborn,,"July 30, 2021",Public,MI,✓,✓,--,D
[University of Michigan at Flint](https://record.umich.edu/articles/u-m-will-require-covid-19-vaccination-on-all-campuses/)@@University of Michigan at Flint,University of Michigan at Flint,,"July 30, 2021",Public,MI,✓,✓,--,D
[University of Minnesota at Crookston](https://safe-campus.umn.edu/return-campus/get-the-vax)@@University of Minnesota at Crookston,University of Minnesota at Crookston,,--,Public,MN,--,✓,--,D
[University of Minnesota at Duluth](https://safe-campus.umn.edu/return-campus/get-the-vax)@@University of Minnesota at Duluth,University of Minnesota at Duluth,,--,Public,MN,--,✓,--,D
[University of Minnesota at Morris](https://safe-campus.umn.edu/return-campus/get-the-vax)@@University of Minnesota at Morris,University of Minnesota at Morris,,--,Public,MN,--,✓,--,D
[University of Minnesota at Rochester](https://safe-campus.umn.edu/return-campus/get-the-vax)@@University of Minnesota at Rochester,University of Minnesota at Rochester,,--,Public,MN,--,✓,--,D
[University of Minnesota at Twin Cities](https://safe-campus.umn.edu/return-campus/get-the-vax)@@University of Minnesota at Twin Cities,University of Minnesota at Twin Cities,Y,--,Public,MN,--,✓,--,D
[University of Nebraska Medical Center](https://www.unmc.edu/news.cfm?match=27686)@@University of Nebraska Medical Center,University of Nebraska Medical Center,,"August 12, 2021",Public,NE,✓,✓,--,R
