College,,AAU,Announce date,Type,State  ^Color denotes 2020 presidential result^,Employees  ^(Vaccination required)^,All students  ^(Vaccination required)^,Only residential students  ^(Vaccination required)^,state_pol
[Indiana University-Purdue University at Columbus](https://www.iu.edu/covid/prevention/covid-19-vaccine.html)@@Indiana University-Purdue University at Columbus,Indiana University-Purdue University at Columbus,,"May 21, 2021",Public,IN,✓,✓,--,R
[Indiana University-Purdue University at Indianapolis](https://www.iu.edu/covid/prevention/covid-19-vaccine.html)@@Indiana University-Purdue University at Indianapolis,Indiana University-Purdue University at Indianapolis,,"May 21, 2021",Public,IN,✓,✓,--,R
[Indiana University-Southeast](https://www.iu.edu/covid/prevention/covid-19-vaccine.html)@@Indiana University-Southeast,Indiana University-Southeast,,"May 21, 2021",Public,IN,✓,✓,--,R
[Ithaca College](https://www.ithaca.edu/news/anticipating-vibrant-fall-2021-ithaca-college)@@Ithaca College,Ithaca College,,"April 7, 2021",Private,NY,--,✓,--,D
[Jacksonville University](https://www.ju.edu/readytoreturn/subject-vaccination.php)@@Jacksonville University,Jacksonville University,,--,Private,FL,✓,--,--,R
[James Madison University](http://jmu.imodules.com/controls/email_marketing/view_in_browser.aspx?sid=1591&gid=2&sendId=2516231&ecatid=64&puid=c423e57d-e36a-44e4-9b36-3c269c94adf4)@@James Madison University,James Madison University,,"May 27, 2021",Public,VA,--,✓,--,D
[Jamestown Community College](https://twitter.com/NYGovCuomo/status/1391784406453477383?s=20)@@Jamestown Community College,Jamestown Community College,,"May 10, 2021",Public,NY,--,✓,--,D
[Jefferson Community College](https://twitter.com/NYGovCuomo/status/1391784406453477383?s=20)@@Jefferson Community College,Jefferson Community College,,"May 10, 2021",Public,NY,--,✓,--,D
Jewish Theological Seminary of America,Jewish Theological Seminary of America,,"April 30, 2021",Private,NY,✓,✓,--,D
[Johns Hopkins University](https://hub.jhu.edu/2021/04/09/fall-return-to-campus-planning/?mc_cid=a95b995103&amp;mc_eid=658804808d)@@Johns Hopkins University,Johns Hopkins University,Y,"April 9, 2021",Private,MD,✓,✓,--,D
[Johnson & Wales University-Charlotte](https://www.jwu.edu/news/university-press-releases/providence/051121-vaccine.html)@@Johnson & Wales University-Charlotte,Johnson & Wales University-Charlotte,,"May 11, 2021",Private,NC,✓,✓,--,R
[Johnson & Wales University-Providence](https://www.thenewportbuzz.com/johnson-wales-university-to-require-covid-19-vaccinations-for-students-this-fall/29874)@@Johnson & Wales University-Providence,Johnson & Wales University-Providence,,"May 11, 2021",Private,RI,✓,✓,--,D
[Johnson C. Smith University](https://www.jcsu.edu/happenings/latest-news/johnson-c.-smith-university-requires-vaccinations-for-faculty-staff-and-students#idZBNBATsZi5Tp1s21HOf7kQ)@@Johnson C. Smith University,Johnson C. Smith University,,"May 18, 2021",Private,NC,--,✓,--,R
