College,Announce date,Type,State  ^Color denotes 2020 presidential result^,All employees  ^(Vaccination required)^,Some employees<sup>1</sup> ^(Vaccination required)^,All students  ^(Vaccination required)^,Only residential students  ^(Vaccination required)^,state_pol
[Boston College](https://www.bcheights.com/2021/04/23/bc-to-require-vaccinations-for-2021-2022-academic-year/)@@Boston College,"April 23, 2021",Private,MA,✓,--,✓,--,D
[Boston University](https://www.bu.edu/president/vaccination-and-the-fall-semester-at-boston-university/)@@Boston University,"April 9, 2021",Private,MA,✓,--,✓,--,D
[Bowdoin College](https://www.bowdoin.edu/president/writings-and-addresses/messages-to-the-community/2021/apr-16.html)@@Bowdoin College,"April 16, 2021",Private,ME,✓,--,✓,--,D
[Bowie State University](https://www.usmd.edu/newsroom/news/2154)@@Bowie State University,"April 23, 2021",Public,MD,✓,--,✓,--,D
[Bowling Green State University](https://www.bgsu.edu/content/dam/BGSU/covid/cho/covid-vaccination-sep2.html)@@Bowling Green State University,"September 2, 2021",Public,OH,✓,--,✓,--,R
[Bradley University](https://www.illinois.gov/government/executive-orders/executive-order.executive-order-number-20.2021.html)@@Bradley University,"August 26, 2021",Private,IL,✓,--,✓,--,D
[Brandeis University](https://www.brandeis.edu/covid-19/policies/campus-updates/2021-04-26-vaccine-requirement.html)@@Brandeis University,"April 26, 2021",Private,MA,✓,--,✓,--,D
[Brevard College](https://brevard.edu/important-policy-announcement/)@@Brevard College,"April 28, 2021",Private,NC,✓,--,✓,--,R
[Bridgewater College](https://www.bridgewater.edu/covid-19-and-cares-act/)@@Bridgewater College,"May 7, 2021",Private,VA,✓,--,✓,--,D
[Bridgewater State University](https://www.salemstate.edu/news/fall-2021-semester-covid-19-vaccine-requirement-apr-26-2021)@@Bridgewater State University,"April 26, 2021",Public,MA,--,--,✓,--,D
[Brigham Young University-Hawaii](https://news.byuh.edu/announcements/covid-19-immunization-requirement-for-students-beginning-fall-2021)@@Brigham Young University-Hawaii,"June 16, 2021",Private,HI,--,--,✓,--,D
[Bristol Community College](https://masscc.org/massachusetts-community-colleges-announce-vaccine-requirement/)@@Bristol Community College,"September 20, 2021",Public,MA,✓,--,✓,--,D
[Brown University](https://www.providencejournal.com/story/news/2021/04/06/brown-begin-requiring-vaccines-students-come-fall/7107713002/)@@Brown University,"April 6, 2021",Private,RI,✓,--,✓,--,D
[Bryant University](https://news.bryant.edu/student-covid-19-vaccination-and-masking-policy-fall-semester-2021)@@Bryant University,"June 30, 2021",Private,RI,✓,--,✓,--,D
[Bryn Athyn College of the New Church](https://brynathyn.edu/news/addition-to-immunization-requirements-for-bac-community.html)@@Bryn Athyn College of the New Church,"July 23, 2021",Private,PA,✓,--,✓,--,D
[Bryn Mawr College](https://www.brynmawr.edu/news/message-bico-community-covid-vaccinations-be-required-students-fall-2021)@@Bryn Mawr College,"April 28, 2021",Private,PA,--,--,✓,--,D
[Bucknell University](https://www.bucknell.edu/life-bucknell/fall-reopening/students-families/messages-event-recordings)@@Bucknell University,"May 13, 2021",Private,PA,--,--,✓,--,D
[Bunker Hill Community College](https://masscc.org/massachusetts-community-colleges-announce-vaccine-requirement/)@@Bunker Hill Community College,"September 20, 2021",Public,MA,✓,--,✓,--,D
[Butler University](https://view.engagement.butler.edu/?qs=4a2563dafb53258736a275287b48ab5605e2f9a57dc24908ca153b7b562e1d5d03414be972f9e88dbbcad5ddff2bb4119ca0cf56d4dbfce2c0306cd68795925f627d4964f88ef9b60f277bc0fbcf8fcfd8782d2bcef8a8bc)@@Butler University,"June 21, 2021",Private,IN,✓,--,✓,--,R
[Cabrini University](https://www.cabrini.edu/about/media-hub/news/2021/vaccine-requirement)@@Cabrini University,"June 25, 2021",Private,PA,✓,--,✓,--,D
[Caldwell University](https://www.caldwell.edu/coronavirus-update/student-vaccine-faq/)@@Caldwell University,--,Private,NJ,--,--,✓,--,D
[California College of the Arts](https://portal.cca.edu/thriving/health-wellness/novel-coronavirus-covid19/vaccination-requirements-fall-2021/)@@California College of the Arts,"May 5, 2021",Private,CA,✓,--,✓,--,D
[California Instititute of the Arts](https://calarts.edu/calarts-returns-2021/calarts-returns#vaccination)@@California Instititute of the Arts,--,Private,CA,✓,--,✓,--,D
[California Institute of Integral Studies](https://www.ciis.edu/covid-19/vaccination-requirements-for-fall-2021)@@California Institute of Integral Studies,--,Private,CA,✓,--,✓,--,D
[California Institute of Technology](https://studentaffairs.caltech.edu/policies/vaccination-policy)@@California Institute of Technology,"April 30, 2021",Private,CA,✓,--,✓,--,D
[California Jazz Conservatory](https://cjc.edu/about-the-cjc-2/health-and-safety-guidelines/)@@California Jazz Conservatory,--,Private,CA,--,--,--,✓,D
[California Lutheran University](https://www.callutheran.edu/know/updates/?id=14346)@@California Lutheran University,"May 17, 2021",Private,CA,✓,--,✓,--,D
[California Polytechnic State University at San Luis Obispo](https://www2.calstate.edu/csu-system/news/Pages/CSU-COVID-Vax-Requirement-FDA-Approval.aspx)@@California Polytechnic State University at San Luis Obispo,"April 22, 2021",Public,CA,✓,--,✓,--,D
[California State Polytechnic University at Pomona](https://www2.calstate.edu/csu-system/news/Pages/CSU-COVID-Vax-Requirement-FDA-Approval.aspx)@@California State Polytechnic University at Pomona,"April 22, 2021",Public,CA,✓,--,✓,--,D
[California State University at Bakersfield](https://www2.calstate.edu/csu-system/news/Pages/CSU-COVID-Vax-Requirement-FDA-Approval.aspx)@@California State University at Bakersfield,"April 22, 2021",Public,CA,✓,--,✓,--,D
[California State University at Chico](https://www2.calstate.edu/csu-system/news/Pages/CSU-COVID-Vax-Requirement-FDA-Approval.aspx)@@California State University at Chico,"April 22, 2021",Public,CA,✓,--,✓,--,D
[California State University at Fresno](https://www2.calstate.edu/csu-system/news/Pages/CSU-COVID-Vax-Requirement-FDA-Approval.aspx)@@California State University at Fresno,"April 22, 2021",Public,CA,✓,--,✓,--,D
[California State University at Fullerton](https://www2.calstate.edu/csu-system/news/Pages/CSU-COVID-Vax-Requirement-FDA-Approval.aspx)@@California State University at Fullerton,"April 22, 2021",Public,CA,✓,--,✓,--,D
[California State University at Long Beach](https://www2.calstate.edu/csu-system/news/Pages/CSU-COVID-Vax-Requirement-FDA-Approval.aspx)@@California State University at Long Beach,"April 22, 2021",Public,CA,✓,--,✓,--,D
[California State University at Los Angeles](https://www2.calstate.edu/csu-system/news/Pages/CSU-COVID-Vax-Requirement-FDA-Approval.aspx)@@California State University at Los Angeles,"April 22, 2021",Public,CA,✓,--,✓,--,D
[California State University at Northridge](https://www2.calstate.edu/csu-system/news/Pages/CSU-COVID-Vax-Requirement-FDA-Approval.aspx)@@California State University at Northridge,"April 22, 2021",Public,CA,✓,--,✓,--,D
[California State University at Sacramento](https://www2.calstate.edu/csu-system/news/Pages/CSU-COVID-Vax-Requirement-FDA-Approval.aspx)@@California State University at Sacramento,"April 22, 2021",Public,CA,✓,--,✓,--,D
[California State University at San Bernardino](https://www2.calstate.edu/csu-system/news/Pages/CSU-COVID-Vax-Requirement-FDA-Approval.aspx)@@California State University at San Bernardino,"April 22, 2021",Public,CA,✓,--,✓,--,D
[California State University at San Marcos](https://www2.calstate.edu/csu-system/news/Pages/CSU-COVID-Vax-Requirement-FDA-Approval.aspx)@@California State University at San Marcos,"April 22, 2021",Public,CA,✓,--,✓,--,D
[California State University Maritime Academy](https://www2.calstate.edu/csu-system/news/Pages/CSU-COVID-Vax-Requirement-FDA-Approval.aspx)@@California State University Maritime Academy,"April 22, 2021",Public,CA,✓,--,✓,--,D
[California State University-Channel Islands](https://www2.calstate.edu/csu-system/news/Pages/CSU-COVID-Vax-Requirement-FDA-Approval.aspx)@@California State University-Channel Islands,"April 22, 2021",Public,CA,✓,--,✓,--,D
[California State University-Dominguez Hills](https://www2.calstate.edu/csu-system/news/Pages/CSU-COVID-Vax-Requirement-FDA-Approval.aspx)@@California State University-Dominguez Hills,"April 22, 2021",Public,CA,✓,--,✓,--,D
[California State University-East Bay](https://www2.calstate.edu/csu-system/news/Pages/CSU-COVID-Vax-Requirement-FDA-Approval.aspx)@@California State University-East Bay,"April 22, 2021",Public,CA,✓,--,✓,--,D
[California State University-Monterey Bay](https://www2.calstate.edu/csu-system/news/Pages/CSU-COVID-Vax-Requirement-FDA-Approval.aspx)@@California State University-Monterey Bay,"April 22, 2021",Public,CA,✓,--,✓,--,D
[California State University-Stanislaus](https://www2.calstate.edu/csu-system/news/Pages/CSU-COVID-Vax-Requirement-FDA-Approval.aspx)@@California State University-Stanislaus,"April 22, 2021",Public,CA,✓,--,✓,--,D
[Cambridge College in Massachusetts](https://www.cambridgecollege.edu/sites/default/files/file_uploads/cc_student_safe_return_fall_2021_faq.pdf)@@Cambridge College in Massachusetts,"July 23, 2021",Private,MA,--,--,--,✓,D
[Canisius College](https://www.canisius.edu/sites/default/files/%2A/announcement_sept_27_canisius.pdf)@@Canisius College,"September 27, 2021",Private,NY,✓,--,✓,--,D
[Cape Cod Community College](https://masscc.org/massachusetts-community-colleges-announce-vaccine-requirement/)@@Cape Cod Community College,"September 20, 2021",Public,MA,✓,--,✓,--,D
[Capital Community College](https://www.ct.edu/covid19#faqs)@@Capital Community College,"June 25, 2021",Public,CT,--,--,✓,--,D
[Capital University](https://www.capital.edu/campus-safety/campus-reopening-plans/#communications)@@Capital University,"August 27, 2021",Private,OH,✓,--,✓,--,R
[Caribbean University-Bayamon](https://www.caribbean.edu/informacion-y-actualizaciones-de-covid-19/)@@Caribbean University-Bayamon,--,Private,PR,✓,--,✓,--,null
[Caribbean University-Carolina](https://www.caribbean.edu/informacion-y-actualizaciones-de-covid-19/)@@Caribbean University-Carolina,--,Private,PR,✓,--,✓,--,null
[Caribbean University-Ponce](https://www.caribbean.edu/informacion-y-actualizaciones-de-covid-19/)@@Caribbean University-Ponce,--,Private,PR,✓,--,✓,--,null
[Caribbean University-Vega Baja](https://www.caribbean.edu/informacion-y-actualizaciones-de-covid-19/)@@Caribbean University-Vega Baja,--,Private,PR,✓,--,✓,--,null
[Carl Sandburg College](https://www.illinois.gov/government/executive-orders/executive-order.executive-order-number-20.2021.html)@@Carl Sandburg College,"August 26, 2021",Public,IL,✓,--,✓,--,D
[Carleton College](https://www.carleton.edu/covid/updates/message-from-president-poskanzer-sharing-the-framework-for-fall-2021/)@@Carleton College,"April 28, 2021",Private,MN,✓,--,✓,--,D
[Carnegie Mellon University](https://www.cmu.edu/coronavirus/news-and-communications/communications-archive/2021/may/vaccine-requirements-for-fall-semester.html)@@Carnegie Mellon University,"May 11, 2021",Private,PA,✓,--,✓,--,D
[Carrington College at Spokane](https://www.governor.wa.gov/sites/default/files/proclamations/proc_20-12.5.pdf)@@Carrington College at Spokane,"August 20, 2021",For-profit,WA,✓,--,--,--,D
[Carthage College ](https://www.carthage.edu/carthage-covid-19/vaccinations/)@@Carthage College ,"July 14, 2021",Private,WI,✓,--,✓,--,D
[Cascadia College](https://www.governor.wa.gov/sites/default/files/proclamations/proc_20-12.5.pdf)@@Cascadia College,"August 20, 2021",Public,WA,✓,--,--,--,D
[Case Western Reserve University](https://case.edu/covid19/covid-19-communications/vaccination-requirements-case-western-reserve-university)@@Case Western Reserve University,"July 15, 2021",Private,OH,✓,--,✓,--,R
[Castleton University](https://www.castleton.edu/covid-19-coronavirus-updates/covid-vaccine/)@@Castleton University,"July 22, 2021",Public,VT,--,--,✓,--,D
[Catawba College](https://catawba.edu/news-events/remain/plan/vaccination-policy/)@@Catawba College,--,Private,NC,✓,--,✓,--,R
[Catholic Theological Union at Chicago](https://www.illinois.gov/government/executive-orders/executive-order.executive-order-number-20.2021.html)@@Catholic Theological Union at Chicago,"August 26, 2021",Private,IL,✓,--,✓,--,D
[Cayuga County Community College](https://twitter.com/NYGovCuomo/status/1391784406453477383?s=20)@@Cayuga County Community College,"May 10, 2021",Public,NY,--,--,✓,--,D
[Cazenovia College](https://www.cazenovia.edu/news/cazenovia-college-requiring-covid-19-vaccination-fall-2021-semester)@@Cazenovia College,"May 11, 2021",Private,NY,✓,--,✓,--,D
[Centenary College of Louisiana](https://www.centenary.edu/directories/offices-services-directory/public-safety/covid-19-information/)@@Centenary College of Louisiana,--,Private,LA,✓,--,✓,--,R
[Centenary University](https://www.centenaryuniversity.edu/coronavirus-communications/)@@Centenary University,"July 13, 2021",Private,NJ,✓,--,✓,--,D
[Central Connecticut State University](https://www.ct.edu/covid19#faqs)@@Central Connecticut State University,"June 25, 2021",Public,CT,--,--,✓,--,D
[Central Louisiana Technical Community College](https://www.katc.com/news/covering-louisiana/regents-updates-on-louisiana-higher-ed-vaccine-mandates)@@Central Louisiana Technical Community College,"August 25, 2021",Public,LA,--,--,✓,--,R
[Central Maine Community College](https://www.mccs.me.edu/covid-19/vaccine-protocol/)@@Central Maine Community College,"August 12, 2021",Public,ME,--,--,✓,--,D
[Central New Mexico Community College](https://www.cnm.edu/covid-19/vaccine-policy)@@Central New Mexico Community College,"August 4, 2021",Public,NM,✓,--,✓,--,D
[Central Washington University](http://www.cwu.edu/message-president-james-gaudino?fbclid=IwAR2F8DQ1D75NBrCsxgkq5OgJJGkwXWBkghX1eIIK4tZ5jSWDWNISlHBTgqU)@@Central Washington University,"May 6, 2021",Public,WA,✓,--,✓,--,D
[Centralia College](https://www.governor.wa.gov/sites/default/files/proclamations/proc_20-12.5.pdf)@@Centralia College,"August 20, 2021",Public,WA,✓,--,--,--,D
[Centre College](https://www.centre.edu/coronavirus/)@@Centre College,--,Private,KY,--,--,✓,--,R
[Cerro Coso College](https://do-prod-webteam-drupalfiles.s3-us-west-2.amazonaws.com/kccdedu/s3fs-public/KCCD%20RESOLUTION%20NO.%20R-4-21_FINAL081221%20-%20OK%20to%20Post.pdf)@@Cerro Coso College,"August 12, 2021",Public,CA,✓,--,✓,--,D
[Chabot College](http://districtazure.clpccd.org/policies/files/docs/BP7330.pdf)@@Chabot College,--,Public,CA,✓,--,--,--,D
[Chamberlain University at Addison](https://www.chamberlain.edu/coronavirus-vaccine-policy)@@Chamberlain University at Addison,"July 15, 2021",For-profit,IL,✓,--,✓,--,D
[Chamberlain University at Atlanta](https://www.chamberlain.edu/coronavirus-vaccine-policy)@@Chamberlain University at Atlanta,7/15/2021,For-profit,GA,✓,--,✓,--,D
[Chamberlain University at Charlotte](https://www.chamberlain.edu/coronavirus-vaccine-policy)@@Chamberlain University at Charlotte,"July 15, 2021",For-profit,NC,✓,--,✓,--,R
[Chamberlain University at Chicago](https://www.chamberlain.edu/coronavirus-vaccine-policy)@@Chamberlain University at Chicago,"July 15, 2021",For-profit,IL,✓,--,✓,--,D
[Chamberlain University at Cleveland](https://www.chamberlain.edu/coronavirus-vaccine-policy)@@Chamberlain University at Cleveland,"July 15, 2021",For-profit,OH,✓,--,✓,--,R
[Chamberlain University at Columbus](https://www.chamberlain.edu/coronavirus-vaccine-policy)@@Chamberlain University at Columbus,"July 15, 2021",For-profit,OH,✓,--,✓,--,R
[Chamberlain University at Houston](https://www.chamberlain.edu/coronavirus-vaccine-policy)@@Chamberlain University at Houston,"July 15, 2021",For-profit,TX,✓,--,✓,--,R
[Chamberlain University at Indianapolis](https://www.chamberlain.edu/coronavirus-vaccine-policy)@@Chamberlain University at Indianapolis,"July 15, 2021",For-profit,IN,✓,--,✓,--,R
[Chamberlain University at Irving](https://www.chamberlain.edu/coronavirus-vaccine-policy)@@Chamberlain University at Irving,"July 15, 2021",For-profit,TX,✓,--,✓,--,R
[Chamberlain University at Irwindale](https://www.chamberlain.edu/coronavirus-vaccine-policy)@@Chamberlain University at Irwindale,"July 15, 2021",For-profit,CA,✓,--,✓,--,D
[Chamberlain University at Jacksonville](https://www.chamberlain.edu/coronavirus-vaccine-policy)@@Chamberlain University at Jacksonville,"July 15, 2021",For-profit,FL,✓,--,✓,--,R
[Chamberlain University at Las Vegas](https://www.chamberlain.edu/coronavirus-vaccine-policy)@@Chamberlain University at Las Vegas,"July 15, 2021",For-profit,NV,✓,--,✓,--,D
[Chamberlain University at Miramar](https://www.chamberlain.edu/coronavirus-vaccine-policy)@@Chamberlain University at Miramar,"July 15, 2021",For-profit,FL,✓,--,✓,--,R
[Chamberlain University at New Orleans](https://www.chamberlain.edu/coronavirus-vaccine-policy)@@Chamberlain University at New Orleans,"July 15, 2021",For-profit,LA,✓,--,✓,--,R
[Chamberlain University at North Brunswick](https://www.chamberlain.edu/coronavirus-vaccine-policy)@@Chamberlain University at North Brunswick,"July 15, 2021",For-profit,NJ,✓,--,✓,--,D
[Chamberlain University at Pearland](https://www.chamberlain.edu/coronavirus-vaccine-policy)@@Chamberlain University at Pearland,"July 15, 2021",For-profit,TX,✓,--,✓,--,R
[Chamberlain University at Phoenix](https://www.chamberlain.edu/coronavirus-vaccine-policy)@@Chamberlain University at Phoenix,"July 15, 2021",For-profit,AZ,✓,--,✓,--,D
[Chamberlain University at Sacramento](https://www.chamberlain.edu/coronavirus-vaccine-policy)@@Chamberlain University at Sacramento,"July 15, 2021",For-profit,CA,✓,--,✓,--,D
